country,"fy2017, Dealing with construction permits","fy2019, Dealing with construction permits","fy2018, Dealing with construction permits",Labels
AFG,33.70269,34.53602,34.53602,2
AGO,64.57157,65.32993,64.99177,0
ALB,52.60171,52.67715,52.64734,2
ARE,86.51006,89.75407,86.52729,0
ARG,48.96341,56.44015,49.26822,2
ARM,67.77198,73.05354,67.98643,0
ATG,65.50013,65.73645,65.58687,0
AUS,84.39049,84.74293,84.59173,0
AUT,74.99933,75.12558,75.0796,0
AZE,60.484,73.35785,73.10547,0
BDI,52.82433,55.01007,56.80765,2
BEL,75.35539,75.45258,75.41697,0
BEN,70.176,70.53937,70.33637,0
BFA,68.20724,68.68324,68.2869,0
BGD,60.57674,61.0534,60.8168,2
BGR,75.02122,75.92664,75.46047,0
BHR,73.72574,83.12787,73.40317,0
BHS,70.52348,70.90189,70.89344,0
BIH,48.57157,48.57157,48.57157,2
BLR,70.2254,75.17656,74.77508,0
BLZ,64.19599,64.28616,64.16031,0
BOL,59.82253,60.03804,59.95738,2
BRA,52.05098,51.91653,52.09754,2
BRB,56.63066,56.63829,56.63923,2
BRN,73.6169,73.61548,73.49267,0
BTN,68.6938,68.93607,68.84515,0
BWA,71.23832,75.5821,75.55634,0
CAF,34.0951,34.0951,34.0951,2
CAN,72.87193,72.98221,72.95398,0
CHE,71.73409,71.76412,71.75025,0
CHL,75.81073,75.93492,75.89844,0
CHN,41.21297,77.32515,65.19736,2
CIV,55.57687,57.41058,57.49902,2
CMR,52.81364,56.45175,55.76758,2
COD,51.6386,59.51169,52.97937,2
COG,59.60131,61.27627,59.83109,2
COL,68.70968,69.08851,68.76814,0
COM,66.6942,67.97648,66.76346,0
CPV,73.40729,74.64551,73.50164,0
CRI,70.74499,70.7972,70.76334,0
CYP,63.98528,64.15275,64.07683,0
CZE,56.1742,56.20809,56.19526,2
DEU,78.11466,78.20203,78.16116,0
DJI,69.02089,69.40436,69.01594,0
DMA,70.07185,70.07927,70.09158,0
DNK,86.78617,87.8797,86.90466,0
DOM,70.14118,70.74722,70.41931,0
DZA,62.94321,65.26224,64.59323,0
ECU,66.3151,66.41824,66.38171,0
EGY,71.35323,71.15784,70.75005,0
ERI,0.0,0.0,0.0,1
ESP,70.73548,70.79667,70.76903,0
EST,82.50138,82.55212,82.5261,0
ETH,49.18346,59.68328,52.84177,2
FIN,75.73689,75.92974,75.7851,0
FJI,67.69056,67.75047,67.71572,0
FRA,76.45414,74.29214,74.32579,0
FSM,61.12489,61.0262,61.12539,2
GAB,57.83165,59.78165,58.72856,2
GBR,80.3481,80.33717,80.28891,0
GEO,79.23297,80.97765,79.28057,0
GHA,61.89778,67.61784,66.1591,0
GIN,57.13813,65.85333,66.0568,2
GMB,56.77551,59.36381,57.26993,2
GNB,45.23727,45.23727,45.23727,2
GNQ,54.95363,55.00599,55.00952,2
GRC,68.36806,69.52767,69.5113,0
GRD,62.32173,62.488,62.5293,2
GTM,64.40247,65.33814,65.01178,0
GUY,52.30685,52.52066,52.45921,2
HKG,91.21002,93.46702,91.24105,0
HND,54.30047,56.16737,55.81586,2
HRV,54.77493,57.82072,55.70375,2
HTI,44.21806,44.21806,44.21806,2
HUN,66.18827,66.98092,66.90334,0
IDN,64.04171,66.77648,65.91843,0
IND,39.68793,78.65812,72.06749,2
IRL,76.24242,76.57602,76.71778,0
IRN,70.25477,71.17587,70.77958,0
IRQ,67.6567,67.66297,67.6366,0
ISL,71.66887,71.56485,71.63792,0
ISR,76.56737,76.68875,76.60332,0
ITA,68.04022,68.32703,68.17238,0
JAM,71.63379,71.87833,71.78744,0
JOR,61.70442,60.32903,59.88751,2
JPN,83.0802,83.09167,83.08849,0
KAZ,74.44108,76.54583,74.33211,0
KEN,63.16004,67.60733,63.49481,0
KGZ,68.61722,69.03277,68.92096,0
KHM,41.85847,44.55235,44.23139,2
KIR,48.63534,52.20483,51.42817,2
KNA,73.40831,73.48396,73.42022,0
KOR,84.40506,84.43518,84.42631,0
KWT,62.06596,71.93992,61.35807,0
LAO,67.56883,68.28334,67.94367,0
LBN,53.68414,53.71731,54.19415,2
LBR,28.93852,28.93852,28.93852,2
LBY,0.0,0.0,0.0,1
LCA,76.21217,76.37979,76.3276,0
LIE,0.0,83.5137,83.52035,2
LKA,68.32567,72.25919,72.24791,0
LSO,50.78803,52.94741,51.71322,2
LTU,84.75939,84.8703,84.85433,0
LUX,83.85587,83.8665,83.84971,0
